lrs;losses
9.99999993922529e-09;0.20265772938728333
1.2022644213516287e-08;0.19387270510196686
1.4454397678775877e-08;0.19502003490924835
1.737800836565384e-08;0.191300168633461
2.089296202711921e-08;0.20032282173633575
2.5118865210060903e-08;0.19730742275714874
3.019951932969889e-08;0.19494937360286713
3.630780653907095e-08;0.19578368961811066
4.365158545738268e-08;0.19722579419612885
5.248074685937354e-08;0.20114967226982117
6.309573308271865e-08;0.19673395156860352
7.585775563256902e-08;0.1932004690170288
9.120108046545283e-08;0.19221974909305573
1.096478143836066e-07;0.1927453726530075
1.3182567215608287e-07;0.19188737869262695
1.584893141171051e-07;0.19103634357452393
1.9054606070767477e-07;0.19062644243240356
2.2908675134658552e-07;0.19223815202713013
2.7542284897208447e-07;0.19357076287269592
3.3113110475824215e-07;0.19443729519844055
3.981071472480835e-07;0.19579561054706573
4.786300564774137e-07;0.19773273169994354
5.754399126089993e-07;0.1985425502061844
6.918309622960805e-07;0.1967843621969223
8.317637707477843e-07;0.19583697617053986
9.999999974752427e-07;0.1955268681049347
1.2022644568787655e-06;0.1964087188243866
1.4454398069574381e-06;0.19538338482379913
1.7378008578816662e-06;0.19496029615402222
2.0892962311336305e-06;0.19611486792564392
2.511886577849509e-06;0.1958727240562439
3.019951918759034e-06;0.1952592432498932
3.6307808386482066e-06;0.19473089277744293
4.3651584746839944e-06;0.19574996829032898
5.2480745580396615e-06;0.1957935392856598
6.30957356406725e-06;0.19546163082122803
7.585776074847672e-06;0.19558915495872498
9.120109098148532e-06;0.19486486911773682
1.0964782632072456e-05;0.19477590918540955
1.3182568181946408e-05;0.19398799538612366
1.58489328896394e-05;0.19414040446281433
1.9054608856095e-05;0.19377835094928741
2.290867814735975e-05;0.1933603733778
2.7542288080439903e-05;0.19349826872348785
3.311311229481362e-05;0.19402126967906952
3.981071859016083e-05;0.19329479336738586
4.786300996784121e-05;0.19233505427837372
5.754399535362609e-05;0.19241435825824738
6.918310100445524e-05;0.1921752393245697
8.317638275912032e-05;0.19238920509815216
0.00010000000474974513;0.19198741018772125
0.00012022644659737125;0.19250062108039856
0.00014454398478846997;0.19308342039585114
0.00017378009215462953;0.1926683634519577
0.00020892961765639484;0.19279524683952332
0.0002511886414140463;0.1923288255929947
0.00030199516913853586;0.19178590178489685
0.0003630780556704849;0.1911354660987854
0.0004365158383734524;0.1901264637708664
0.0005248074885457754;0.18865005671977997
0.000630957365501672;0.18896712362766266
0.0007585776038467884;0.18784430623054504
0.0009120108443312347;0.18641848862171173
0.001096478197723627;0.18737278878688812
0.001318256719969213;0.18637658655643463
0.0015848932089284062;0.18724989891052246
0.0019054607255384326;0.1870008111000061
0.0022908677347004414;0.18599313497543335
0.002754228888079524;0.18510013818740845
0.003311311360448599;0.18386489152908325
0.00398107198998332;0.18208152055740356
0.004786301404237747;0.18025194108486176
0.005754400044679642;0.178391695022583
0.0069183106534183025;0.1823025345802307
0.008317639119923115;0.18007224798202515
0.010000001639127731;0.1778094321489334
0.012022646144032478;0.18058791756629944
0.014454400166869164;0.17858728766441345
0.017378011718392372;0.17646284401416779
0.02089296467602253;0.17433464527130127
0.025118868798017502;0.17229044437408447
0.030199522152543068;0.17031869292259216
0.03630781173706055;0.16830623149871826
0.04365159198641777;0.16633722186088562
0.05248075723648071;0.16439148783683777
0.06309574842453003;0.162516251206398
0.07585777342319489;0.17666800320148468
0.09120110422372818;0.2723052203655243
0.10964784026145935;0.27058374881744385
0.13182570040225983;0.26757746934890747
0.15848934650421143;0.2734829783439636
0.19054611027240753;0.3047867715358734
0.22908681631088257;0.3015094995498657
0.27542293071746826;0.3040448725223541
0.3311311900615692;0.413590669631958
0.39810726046562195;0.702305018901825
